Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak,faktor
Svehøgda 140,46/349/0/0,7823000,70,640000,4836100,1.8,8704,Ingen,2.0
Svehøgda 161,46/350/0/0,6912000,70,320000,4518400,1.8,8133,Ingen,1.0
Svehøgda 142,46/351/0/0,7568000,70,320000,4977600,1.8,8959,Ingen,1.0
Svehøgda 163,46/352/0/0,7798000,70,640000,4818600,1.8,8673,Ingen,2.0
Svehøgda 144,46/353/0/0,4803000,70,320000,3042100,1.8,5475,Ingen,1.0
Svehøgda 165,46/354/0/0,5566000,70,640000,3256200,1.8,5861,Ingen,2.0
Svehøgda 146,46/355/0/0,7046000,70,640000,4292200,1.8,7725,Ingen,2.0
Svehøgda 167,46/356/0/0,4216000,70,320000,2631200,1.8,4736,Ingen,1.0
Svehøgda 148,46/357/0/0,6001000,70,320000,3880700,1.8,6985,Ingen,1.0
Svehøgda 171,46/358/0/0,6311000,70,320000,4097700,1.8,7375,Ingen,1.0
Svehøgda 150,46/359/0/0,5991000,70,320000,3873700,1.8,6972,Ingen,1.0
Svehøgda 156,46/360/0/0,6732000,70,640000,4072400,1.8,7330,Ingen,2.0
Svehøgda 160,46/361/0/0,6283000,70,320000,4078100,1.8,7340,Ingen,1.0
Svehøgda 162,46/362/0/0,6001000,70,320000,3880700,1.8,6985,Ingen,1.0
Svehøgda 166,46/363/0/0,6171000,70,320000,3999700,1.8,7199,Ingen,1.0
Svehøgda 136,46/365/0/0,5327000,70,320000,3408900,1.8,6136,Ingen,1.0
Dalabakkan 49,46/366/0/0,34525000,100,0,34525000,4.0,138100,Ingen,1.0
Svehøgda 6,46/367/0/0,4732000,70,320000,2992400,1.8,5386,Ingen,1.0
Svehøgda 154,46/368/0/0,5206000,70,640000,3004200,1.8,5407,Ingen,2.0
Svehøgda 2,46/369/0/0,4670000,70,320000,2949000,1.8,5308,Ingen,1.0
Svehøgda 4,46/370/0/0,4670000,70,320000,2949000,1.8,5308,Ingen,1.0
Svehøgda 8,46/371/0/0,4716000,70,320000,2981200,1.8,5366,Ingen,1.0
Svehøgda 10,46/372/0/0,4607000,70,320000,2904900,1.8,5228,Ingen,1.0
Svehøgda 12,46/373/0/0,4972000,70,320000,3160400,1.8,5688,Ingen,1.0
Svehøgda 74,46/374/0/0,5829000,70,320000,3760300,1.8,6768,Ingen,1.0
