Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak,faktor
Sjølyst 0,1/2/0/0,500000,100,0,500000,1.8,900,Ingen,1.0
Vidsjåvegen 10,1/6/0/0,4144000,70,320000,2580800,1.8,4645,Ingen,1.0
Granstuen 0,1/7/0/0,0,100,0,0,1.8,0,Ingen,1.0
1/8/0/0 0,1/8/0/0,0,100,0,0,1.8,0,Ingen,1.0
Lassvebergvegen 8,1/9/0/0,533000,70,320000,53100,1.8,95,Ingen,1.0
Lassvebergvegen 27,1/10/0/0,5013000,70,320000,3189100,1.8,5740,Ingen,1.0
Hundhammervegen 22,1/15/0/0,5365000,70,640000,3115500,1.8,5607,Ingen,2.0
Kongestien 12,1/16/0/0,5549000,70,320000,3564300,1.8,6415,Ingen,1.0
Hundhammervegen 19A,1/17/0/0,5707000,70,320000,3674900,1.8,6614,Ingen,1.0
Hundhammervegen 17,1/18/0/0,6128000,70,320000,3969600,1.8,7145,Ingen,1.0
Hundhammervegen 21,1/20/0/0,6323000,70,320000,4106100,1.8,7390,Ingen,1.0
Lassvebergvegen 15,1/24/0/0,8298000,70,640000,5168600,1.8,9303,Ingen,2.0
Lassvebergvegen 10,1/25/0/0,0,100,0,0,1.8,0,Ingen,1.0
Ole Hoels Veg 2,1/27/0/0,4273000,70,320000,2671100,1.8,4807,Ingen,1.0
Malvikvegen 82,1/28/0/0,5480000,70,320000,3516000,1.8,6328,Ingen,1.0
Malvikvegen 92,1/32/0/0,9024000,70,640000,5676800,1.8,10218,Ingen,2.0
Sakslundvegen 21,1/34/0/0,5617000,70,320000,3611900,1.8,6501,Ingen,1.0
Hundhammervegen 34,1/35/0/0,3880000,70,320000,2396000,1.8,4312,Ingen,1.0
Kongestien 14,1/39/0/0,4400000,70,640000,2440000,1.8,4392,Ingen,2.0
Olav Magnussons Veg 7,1/41/0/0,5249000,70,320000,3354300,1.8,6037,Ingen,1.0
Ole Hoels Veg 3,1/42/0/0,6372000,70,320000,4140400,1.8,7452,Ingen,1.0
Malvikvegen 88,1/44/0/0,2880000,70,960000,1056000,1.8,1900,Ingen,3.0
Malvikvegen 88,1/44/0/0,3184000,100,0,3184000,4.0,12736,Ingen,1.0
Lassvebergvegen 19,1/45/0/0,9133000,70,320000,6073100,1.8,10931,Ingen,1.0
Lassvebergvegen 17,1/46/0/0,9615000,70,320000,6410500,1.8,11538,Ingen,1.0
Lassvebergvegen 25,1/47/0/0,6966000,70,320000,4556200,1.8,8201,Ingen,1.0
Ole Hoels Veg 7,1/48/0/0,3064000,70,320000,1824800,1.8,3284,Ingen,1.0
Ole Hoels Veg 16,1/50/0/0,4797000,70,320000,3037900,1.8,5468,Ingen,1.0
Lassvebergvegen 21,1/51/0/0,5480000,70,320000,3516000,1.8,6328,Ingen,1.0
Lassvebergvegen 14,1/54/0/0,4144000,70,320000,2580800,1.8,4645,Ingen,1.0
Ole Hoels Veg 12,1/55/0/0,4600000,70,320000,2900000,1.8,5220,Ingen,1.0
Ole Hoels Veg 8,1/56/0/0,4989000,70,640000,2852300,1.8,5134,Ingen,2.0
Ole Hoels Veg 14,1/57/0/0,5458000,70,320000,3500600,1.8,6301,Ingen,1.0
Ole Hoels Veg 10,1/58/0/0,6040000,70,320000,3908000,1.8,7034,Ingen,1.0
Ole Hoels Veg 9,1/59/0/0,4893000,70,320000,3105100,1.8,5589,Ingen,1.0
Ole Hoels Veg 11,1/60/0/0,0,100,0,0,1.8,0,Ingen,1.0
Hundhammervegen 23A,1/61/0/0,5013000,70,640000,2869100,1.8,5164,Ingen,2.0
Malvikvegen 90,1/62/0/0,3608000,70,320000,2205600,1.8,3970,Ingen,1.0
Lassvebergvegen 16,1/63/0/0,3718000,70,320000,2282600,1.8,4108,Ingen,1.0
Saxe Viks Veg 26,1/64/0/0,4500000,70,320000,2830000,1.8,5094,Ingen,1.0
Kongestien 8,1/65/0/0,4550000,70,320000,2865000,1.8,5157,Ingen,1.0
Grim Saxeviks Veg 1A,1/73/0/1,2519000,70,320000,1443300,1.8,2597,Ingen,1.0
Grim Saxeviks Veg 1A,1/73/0/2,2486000,70,320000,1420200,1.8,2556,Ingen,1.0
Grim Saxeviks Veg 1A,1/73/0/3,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 1A,1/73/0/4,2584000,70,320000,1488800,1.8,2679,Ingen,1.0
Grim Saxeviks Veg 1A,1/73/0/5,2551000,70,320000,1465700,1.8,2638,Ingen,1.0
Grim Saxeviks Veg 1A,1/73/0/6,2551000,70,320000,1465700,1.8,2638,Ingen,1.0
Grim Saxeviks Veg 1B,1/73/0/7,2551000,70,320000,1465700,1.8,2638,Ingen,1.0
Grim Saxeviks Veg 1B,1/73/0/8,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 1B,1/73/0/9,2649000,70,320000,1534300,1.8,2761,Ingen,1.0
Grim Saxeviks Veg 1B,1/73/0/10,2286000,70,320000,1280200,1.8,2304,Ingen,1.0
Grim Saxeviks Veg 1B,1/73/0/11,2419000,70,320000,1373300,1.8,2471,Ingen,1.0
Grim Saxeviks Veg 1B,1/73/0/12,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 1C,1/73/0/13,2584000,70,320000,1488800,1.8,2679,Ingen,1.0
Grim Saxeviks Veg 1C,1/73/0/14,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 1C,1/73/0/15,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 1C,1/73/0/16,2617000,70,320000,1511900,1.8,2721,Ingen,1.0
Grim Saxeviks Veg 1C,1/73/0/17,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 1C,1/73/0/18,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 1D,1/73/0/19,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 1D,1/73/0/20,2617000,70,320000,1511900,1.8,2721,Ingen,1.0
Grim Saxeviks Veg 1D,1/73/0/21,2584000,70,320000,1488800,1.8,2679,Ingen,1.0
Grim Saxeviks Veg 1D,1/73/0/22,2519000,70,320000,1443300,1.8,2597,Ingen,1.0
Grim Saxeviks Veg 1D,1/73/0/23,2419000,70,320000,1373300,1.8,2471,Ingen,1.0
Grim Saxeviks Veg 1D,1/73/0/24,2617000,70,320000,1511900,1.8,2721,Ingen,1.0
Grim Saxeviks Veg 3A,1/73/0/25,2551000,70,320000,1465700,1.8,2638,Ingen,1.0
Grim Saxeviks Veg 3A,1/73/0/26,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 3A,1/73/0/27,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 3A,1/73/0/28,2714000,70,320000,1579800,1.8,2843,Ingen,1.0
Grim Saxeviks Veg 3A,1/73/0/29,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 3A,1/73/0/30,2617000,70,320000,1511900,1.8,2721,Ingen,1.0
Grim Saxeviks Veg 3B,1/73/0/31,2584000,70,320000,1488800,1.8,2679,Ingen,1.0
Grim Saxeviks Veg 3B,1/73/0/32,2649000,70,320000,1534300,1.8,2761,Ingen,1.0
Grim Saxeviks Veg 3B,1/73/0/33,2584000,70,320000,1488800,1.8,2679,Ingen,1.0
Grim Saxeviks Veg 3B,1/73/0/34,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 3B,1/73/0/35,2551000,70,320000,1465700,1.8,2638,Ingen,1.0
Grim Saxeviks Veg 3B,1/73/0/36,2319000,70,320000,1303300,1.8,2345,Ingen,1.0
Grim Saxeviks Veg 3C,1/73/0/37,2551000,70,320000,1465700,1.8,2638,Ingen,1.0
Grim Saxeviks Veg 3C,1/73/0/38,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 3C,1/73/0/39,2519000,70,320000,1443300,1.8,2597,Ingen,1.0
Grim Saxeviks Veg 3C,1/73/0/40,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 3C,1/73/0/41,2584000,70,320000,1488800,1.8,2679,Ingen,1.0
Grim Saxeviks Veg 3C,1/73/0/42,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 3D,1/73/0/43,2319000,70,320000,1303300,1.8,2345,Ingen,1.0
Grim Saxeviks Veg 3D,1/73/0/44,2584000,70,320000,1488800,1.8,2679,Ingen,1.0
Grim Saxeviks Veg 3D,1/73/0/45,2584000,70,320000,1488800,1.8,2679,Ingen,1.0
Grim Saxeviks Veg 3D,1/73/0/46,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 3D,1/73/0/47,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Grim Saxeviks Veg 3D,1/73/0/48,2453000,70,320000,1397100,1.8,2514,Ingen,1.0
Kongestien 16,1/74/0/0,3004000,70,320000,1782800,1.8,3209,Ingen,1.0
Olav Magnussons Veg 19,1/76/0/0,4450000,70,320000,2795000,1.8,5031,Ingen,1.0
Nordlistien 1,1/77/0/0,5707000,70,320000,3674900,1.8,6614,Ingen,1.0
Armfeldts Veg 2B,1/78/0/0,5108000,70,640000,2935600,1.8,5284,Ingen,2.0
Hundhammervegen 27,1/79/0/0,4525000,70,320000,2847500,1.8,5125,Ingen,1.0
Kongestien 3A,1/84/0/0,1329000,70,320000,610300,1.8,1098,Ingen,1.0
Livheim Ii 0,1/85/0/0,0,100,0,0,1.8,0,Ingen,1.0
Kongestien 5,1/86/0/0,4039000,70,320000,2507300,1.8,4513,Ingen,1.0
Hundhammer 0,1/88/0/0,38000,100,0,38000,1.8,68,Ingen,1.0
Skogbrynet Nr. 5 0,1/90/0/0,0,100,0,0,1.8,0,Ingen,1.0
Olav Magnussons Veg 14B,1/91/0/0,7677000,70,640000,4733900,1.8,8521,Ingen,2.0
Knausen 0,1/93/0/0,61000,100,0,61000,1.8,109,Ingen,1.0
Magnus Barfots Veg 20,1/94/0/0,5365000,70,320000,3435500,1.8,6183,Ingen,1.0
Rolia 0,1/95/0/0,0,100,0,0,1.8,0,Ingen,1.0
Nordlistien 2,1/96/0/0,4400000,70,320000,2760000,1.8,4968,Ingen,1.0
Olav Magnussons Veg 31,1/97/0/0,9793000,70,320000,6535100,1.8,11763,Ingen,1.0
Vidsjåvegen 8,1/98/0/0,11521000,70,320000,7744700,1.8,13940,Ingen,1.0
Olav Magnussons Veg 23A,1/99/0/0,4612000,70,320000,2908400,1.8,5235,Ingen,1.0
Olav Magnussons Veg 20,1/100/0/0,5819000,70,640000,3433300,1.8,6179,Ingen,2.0
Olav Magnussons Veg 16,1/103/0/0,4118000,70,320000,2562600,1.8,4612,Ingen,1.0
Magnus Barfots Veg 16A,1/104/0/0,4051000,70,320000,2515700,1.8,4528,Ingen,1.0
Olav Magnussons Veg 25,1/105/0/0,11160000,70,640000,7172000,1.8,12909,Ingen,2.0
Armfeldts Veg 1,1/106/0/1,4026000,100,0,4026000,4.0,16104,Ingen,1.0
Armfeldts Veg 1,1/106/0/2,2682000,70,320000,1557400,1.8,2803,Ingen,1.0
Armfeldts Veg 1,1/106/0/3,2551000,70,320000,1465700,1.8,2638,Ingen,1.0
Armfeldts Veg 1,1/106/0/4,2486000,70,320000,1420200,1.8,2556,Ingen,1.0
Armfeldts Veg 1,1/106/0/5,1352000,70,320000,626400,1.8,1127,Ingen,1.0
Armfeldts Veg 1,1/106/0/6,3252000,70,320000,1956400,1.8,3521,Ingen,1.0
Armfeldts Veg 2A,1/107/0/0,9795000,70,960000,5896500,1.8,10613,Ingen,3.0
Lassvebergvegen 13,1/108/0/0,4575000,70,320000,2882500,1.8,5188,Ingen,1.0
Olav Magnussons Veg 29,1/109/0/0,6344000,70,320000,4120800,1.8,7417,Ingen,1.0
Armfeldts Veg 10,1/110/0/0,4819000,70,320000,3053300,1.8,5495,Ingen,1.0
Armfeldts Veg 6A,1/111/0/0,5797000,70,320000,3737900,1.8,6728,Ingen,1.0
Armfeldts Veg 4A,1/112/0/1,6545000,70,320000,4261500,1.8,7670,Ingen,1.0
Armfeldts Veg 4B,1/112/0/2,8661000,70,320000,5742700,1.8,10336,Ingen,1.0
Armfeldts Veg 2C,1/113/0/0,4195000,70,320000,2616500,1.8,4709,Ingen,1.0
Olav Magnussons Veg 27,1/114/0/0,5503000,70,640000,3212100,1.8,5781,Ingen,2.0
Hundhammervegen 23B,1/115/0/0,5447000,70,640000,3172900,1.8,5711,Ingen,2.0
Olav Magnussons Veg 32,1/117/0/0,6128000,70,320000,3969600,1.8,7145,Ingen,1.0
Olav Magnussons Veg 21,1/118/0/0,4772000,70,320000,3020400,1.8,5436,Ingen,1.0
Olav Magnussons Veg 28,1/119/0/0,4638000,70,640000,2606600,1.8,4691,Ingen,2.0
Olav Magnussons Veg 30,1/120/0/0,4893000,70,320000,3105100,1.8,5589,Ingen,1.0
Olav Magnussons Veg 26,1/122/0/0,9190000,70,640000,5793000,1.8,10427,Ingen,2.0
Malvikvegen 35,1/123/0/0,4400000,70,320000,2760000,1.8,4968,Ingen,1.0
Malvikvegen 33,1/124/0/0,4893000,70,320000,3105100,1.8,5589,Ingen,1.0
Olav Magnussons Veg 33,1/125/0/0,3034000,70,320000,1803800,1.8,3246,Ingen,1.0
Tillegg Til Kvilheim 0,1/130/0/0,44000,100,0,44000,1.8,79,Ingen,1.0
Olav Magnussons Veg 38A,1/131/0/0,5132000,70,320000,3272400,1.8,5890,Ingen,1.0
Saxe Viks Veg 18B,1/132/0/0,4500000,70,320000,2830000,1.8,5094,Ingen,1.0
Saxe Viks Veg 20B,1/133/0/1,2908000,70,320000,1715600,1.8,3088,Ingen,1.0
Saxe Viks Veg 20B,1/133/0/2,2908000,70,320000,1715600,1.8,3088,Ingen,1.0
Olav Magnussons Veg 36,1/134/0/0,0,100,0,0,1.8,0,Ingen,1.0
Hundhammervegen 28,1/135/0/0,660000,70,320000,142000,1.8,255,Ingen,1.0
Malvikvegen 182,1/136/0/0,6725000,70,640000,4067500,1.8,7321,Ingen,2.0
Lassvebergvegen 29,1/137/0/0,4092000,70,320000,2544400,1.8,4579,Ingen,1.0
Malvikvegen 31,1/138/0/0,4772000,70,320000,3020400,1.8,5436,Ingen,1.0
Malvikvegen 37,1/139/0/0,3553000,70,320000,2167100,1.8,3900,Ingen,1.0
Grim Saxeviks Veg 42B,1/140/0/1,2776000,70,320000,1623200,1.8,2921,Ingen,1.0
Grim Saxeviks Veg 42B,1/140/0/2,3275000,70,320000,1972500,1.8,3550,Ingen,1.0
Grim Saxeviks Veg 42B,1/140/0/3,2776000,70,320000,1623200,1.8,2921,Ingen,1.0
Grim Saxeviks Veg 42B,1/140/0/4,3111000,70,320000,1857700,1.8,3343,Ingen,1.0
Grim Saxeviks Veg 42B,1/140/0/5,2776000,70,320000,1623200,1.8,2921,Ingen,1.0
Grim Saxeviks Veg 42B,1/140/0/6,3678000,70,320000,2254600,1.8,4058,Ingen,1.0
Trafo I 0,1/141/0/0,0,100,0,0,4.0,0,Ingen,1.0
Malvikvegen 171,1/142/0/0,5685000,70,640000,3339500,1.8,6011,Ingen,2.0
Olav Magnussons Veg 5,1/143/0/0,6301000,70,320000,4090700,1.8,7363,Ingen,1.0
Kongestien 10,1/144/0/0,5296000,70,320000,3387200,1.8,6096,Ingen,1.0
Olav Magnussons Veg 3,1/146/0/0,4821000,70,320000,3054700,1.8,5498,Ingen,1.0
Tillegg Til Sakslihaug 0,1/149/0/0,0,100,0,0,1.8,0,Ingen,1.0
Ole Hoels Veg 6,1/151/0/0,3853000,70,320000,2377100,1.8,4278,Ingen,1.0
Olav Magnussons Veg 18,1/152/0/0,5662000,70,320000,3643400,1.8,6558,Ingen,1.0
Jamthaugvegen 100,1/153/0/0,7951000,70,320000,5245700,1.8,9442,Ingen,1.0
Jamthaugvegen 98,1/154/0/0,5819000,70,640000,3433300,1.8,6179,Ingen,2.0
Jamthaugvegen 96,1/155/0/0,6870000,70,640000,4169000,1.8,7504,Ingen,2.0
Jamthaugvegen 94,1/156/0/0,5249000,70,320000,3354300,1.8,6037,Ingen,1.0
Olav Magnussons Veg 51,1/157/0/0,4144000,70,320000,2580800,1.8,4645,Ingen,1.0
Olav Magnussons Veg 53,1/158/0/0,3880000,70,320000,2396000,1.8,4312,Ingen,1.0
Olav Magnussons Veg 55,1/159/0/0,5319000,70,320000,3403300,1.8,6125,Ingen,1.0
Stibakken 2b,1/160/0/0,5572000,70,320000,3580400,1.8,6444,Ingen,1.0
Stibakken 10,1/161/0/0,6258000,70,320000,4060600,1.8,7309,Ingen,1.0
Saxe Viks Veg 14,1/162/0/0,6193000,70,320000,4015100,1.8,7227,Ingen,1.0
Trianglene 0,1/164/0/0,0,100,0,0,1.8,0,Ingen,1.0
Krokvegen 0,1/167/0/0,15000,100,0,15000,1.8,27,Ingen,1.0
Olav Magnussons Veg 45,1/168/0/0,3772000,70,320000,2320400,1.8,4176,Ingen,1.0
Nordlistien 8,1/170/0/0,4400000,70,320000,2760000,1.8,4968,Ingen,1.0
Stibakken 8,1/171/0/0,5342000,70,320000,3419400,1.8,6154,Ingen,1.0
Jamthaugvegen 49,1/172/0/0,5249000,70,320000,3354300,1.8,6037,Ingen,1.0
Stibakken 6,1/173/0/0,6040000,70,320000,3908000,1.8,7034,Ingen,1.0
Markavegen Ii 0,1/174/0/0,0,100,0,0,1.8,0,Ingen,1.0
Olav Magnussons Veg 1,1/175/0/0,4550000,70,320000,2865000,1.8,5157,Ingen,1.0
Saxe Viks Veg 16,1/176/0/0,4349000,70,320000,2724300,1.8,4903,Ingen,1.0
Magnus Barfots Veg 14A,1/177/0/0,4239000,70,320000,2647300,1.8,4765,Ingen,1.0
Haugen 0,1/178/0/0,0,100,0,0,1.8,0,Ingen,1.0
Magnus Barfots Veg 14B,1/179/0/0,4993000,70,320000,3175100,1.8,5715,Ingen,1.0
Ole Hoels Veg 5,1/180/0/0,4375000,70,320000,2742500,1.8,4936,Ingen,1.0
Magnus Barfots Veg 28,1/181/0/0,5013000,70,320000,3189100,1.8,5740,Ingen,1.0
Magnus Barfots Veg 18,1/182/0/0,4273000,70,320000,2671100,1.8,4807,Ingen,1.0
Malvikvegen 177,1/183/0/0,4699000,70,320000,2969300,1.8,5344,Ingen,1.0
Ole Hoels Veg 4,1/184/0/0,4525000,70,320000,2847500,1.8,5125,Ingen,1.0
Olav Magnussons Veg 22,1/185/0/0,5202000,70,320000,3321400,1.8,5978,Ingen,1.0
Olav Magnussons Veg 59,1/186/0/0,7096000,70,320000,4647200,1.8,8364,Ingen,1.0
Olav Magnussons Veg 65,1/187/0/0,6280000,70,320000,4076000,1.8,7336,Ingen,1.0
Olav Magnussons Veg 61,1/188/0/0,6246000,70,640000,3732200,1.8,6717,Ingen,2.0
Saksviklia 67,1/189/0/0,5480000,70,320000,3516000,1.8,6328,Ingen,1.0
Armfeldts Veg 7,1/190/0/0,5819000,70,320000,3753300,1.8,6755,Ingen,1.0
Olav Magnussons Veg 57,1/191/0/0,5594000,70,640000,3275800,1.8,5896,Ingen,2.0
Sigrid Saxedatters Veg 17,1/192/0/0,5365000,70,320000,3435500,1.8,6183,Ingen,1.0
Sigrid Saxedatters Veg 15,1/193/0/0,5435000,70,320000,3484500,1.8,6272,Ingen,1.0
Sigrid Saxedatters Veg 13,1/194/0/0,5594000,70,320000,3595800,1.8,6472,Ingen,1.0
Tillegg Til Solbu 0,1/195/0/0,0,100,0,0,1.8,0,Ingen,1.0
Jamthaugvegen 51,1/196/0/1,2947000,70,320000,1742900,1.8,3137,Ingen,1.0
Jamthaugvegen 51,1/196/0/2,4379000,70,320000,2745300,1.8,4941,Ingen,1.0
Saxe Østre 0,1/197/0/0,0,100,0,0,1.8,0,Ingen,1.0
Kongestien 4,1/198/0/0,4550000,70,640000,2545000,1.8,4581,Ingen,2.0
Bergheimkanten 0,1/200/0/0,0,100,0,0,1.8,0,Ingen,1.0
Olav Magnussons Veg 63,1/201/0/0,5249000,70,320000,3354300,1.8,6037,Ingen,1.0
Jamthaugvegen 47,1/202/0/0,6493000,70,320000,4225100,1.8,7605,Ingen,1.0
Armfeldts Veg 6B,1/203/0/0,3986000,70,320000,2470200,1.8,4446,Ingen,1.0
Malvikvegen 175,1/205/0/0,4013000,70,320000,2489100,1.8,4480,Ingen,1.0
Sakslundvegen 6A,1/206/0/0,5342000,70,320000,3419400,1.8,6154,Ingen,1.0
Malvikvegen 61,1/207/0/0,5842000,70,640000,3449400,1.8,6208,Ingen,2.0
Olav Magnussons Veg 47B,1/208/0/0,3290000,70,320000,1983000,1.8,3569,Ingen,1.0
Olav Magnussons Veg 49A,1/209/0/0,5949000,70,320000,3844300,1.8,6919,Ingen,1.0
Armfeldts Veg 2D,1/210/0/0,4625000,70,320000,2917500,1.8,5251,Ingen,1.0
Stibakken 4,1/212/0/0,6106000,70,320000,3954200,1.8,7117,Ingen,1.0
Tillegg Til Sollia 0,1/214/0/0,0,100,0,0,1.8,0,Ingen,1.0
Olav Magnussons Veg 52,1/215/0/0,7677000,70,320000,5053900,1.8,9097,Ingen,1.0
Olav Magnussons Veg 41,1/216/0/0,5594000,70,320000,3595800,1.8,6472,Ingen,1.0
Hundhammervegen 25,1/220/0/0,5108000,70,320000,3255600,1.8,5860,Ingen,1.0
Tillegg Ii Til Vesletun 0,1/221/0/0,0,100,0,0,1.8,0,Ingen,1.0
Olav Magnussons Veg 14C,1/222/0/0,7198000,70,640000,4398600,1.8,7917,Ingen,2.0
Magnus Barfots Veg 12C,1/223/0/0,6344000,70,640000,3800800,1.8,6841,Ingen,2.0
Olav Magnussons Veg 37,1/224/0/0,5108000,70,320000,3255600,1.8,5860,Ingen,1.0
Magnus Barfots Veg 20A,1/226/0/0,5412000,70,320000,3468400,1.8,6243,Ingen,1.0
Magnus Barfots Veg 12A,1/227/0/0,4845000,70,320000,3071500,1.8,5528,Ingen,1.0
Magnus Barfots Veg 12D,1/228/0/1,5410000,70,320000,3467000,1.8,6240,Ingen,1.0
Magnus Barfots Veg 12B,1/228/0/2,5988000,70,320000,3871600,1.8,6968,Ingen,1.0
Magnus Barfots Veg 12,1/229/0/0,6215000,70,320000,4030500,1.8,7254,Ingen,1.0
Magnus Barfots Veg 10,1/230/0/0,4650000,70,320000,2935000,1.8,5283,Ingen,1.0
Magnus Barfots Veg 8,1/231/0/0,5179000,70,320000,3305300,1.8,5949,Ingen,1.0
Magnus Barfots Veg 6,1/232/0/0,5249000,70,640000,3034300,1.8,5461,Ingen,2.0
Magnus Barfots Veg 4,1/233/0/0,5900000,70,640000,3490000,1.8,6282,Ingen,2.0
Magnus Barfots Veg 2,1/234/0/0,4600000,70,320000,2900000,1.8,5220,Ingen,1.0
Magnus Barfots Veg 10B,1/235/0/0,6255000,70,320000,4058500,1.8,7305,Ingen,1.0
Olav Magnussons Veg 14A,1/240/0/0,8625000,70,320000,5717500,1.8,10291,Ingen,1.0
Olav Magnussons Veg 23C,1/241/0/0,4625000,70,320000,2917500,1.8,5251,Ingen,1.0
Olav Magnussons Veg 39,1/242/0/0,4965000,70,320000,3155500,1.8,5679,Ingen,1.0
Olav Magnussons Veg 46,1/244/0/0,4375000,70,320000,2742500,1.8,4936,Ingen,1.0
Sakslundvegen 13B,1/245/0/0,3473000,70,320000,2111100,1.8,3799,Ingen,1.0
Sakslundvegen 13A,1/246/0/0,3424000,70,320000,2076800,1.8,3738,Ingen,1.0
Sakslundvegen 11B,1/247/0/0,3766000,70,320000,2316200,1.8,4169,Ingen,1.0
Sakslundvegen 11A,1/248/0/0,4051000,70,320000,2515700,1.8,4528,Ingen,1.0
Sakslundvegen 9B,1/249/0/0,3940000,70,320000,2438000,1.8,4388,Ingen,1.0
Sakslundvegen 9A,1/250/0/0,3391000,70,320000,2053700,1.8,3696,Ingen,1.0
Sakslundvegen 7B,1/251/0/0,3630000,70,320000,2221000,1.8,3997,Ingen,1.0
Sakslundvegen 7A,1/252/0/0,3391000,70,320000,2053700,1.8,3696,Ingen,1.0
Sakslundvegen 5B,1/253/0/0,3391000,70,320000,2053700,1.8,3696,Ingen,1.0
Sakslundvegen 5A,1/254/0/0,3552000,70,320000,2166400,1.8,3899,Ingen,1.0
Sakslundvegen 3B,1/255/0/0,3273000,70,320000,1971100,1.8,3547,Ingen,1.0
Sakslundvegen 3A,1/256/0/0,3391000,70,320000,2053700,1.8,3696,Ingen,1.0
Nordlistien 6,1/257/0/0,6472000,70,640000,3890400,1.8,7002,Ingen,2.0
Trafokiosk 0,1/259/0/0,0,100,0,0,4.0,0,Ingen,1.0
Magnus Barfots Veg 16B,1/260/0/0,4291000,70,320000,2683700,1.8,4830,Ingen,1.0
Armfeldts Veg 13,1/261/0/0,4170000,70,320000,2599000,1.8,4678,Ingen,1.0
Tillegg Til Knausen 0,1/262/0/0,105000,100,0,105000,1.8,189,Ingen,1.0
Åslyvegen 5,1/264/0/0,7231000,70,320000,4741700,1.8,8535,Ingen,1.0
Magnus Barfots Veg 18A,1/266/0/0,4699000,70,320000,2969300,1.8,5344,Ingen,1.0
Tillegg Til Rolia 0,1/267/0/0,0,100,0,0,1.8,0,Ingen,1.0
Nedre Stibakken 14,1/268/0/0,7775000,70,320000,5122500,1.8,9220,Ingen,1.0
Nedre Stibakken 7,1/269/0/0,5013000,70,640000,2869100,1.8,5164,Ingen,2.0
Nedre Stibakken 3,1/270/0/0,5037000,70,640000,2885900,1.8,5194,Ingen,2.0
Johan Ellingsens Veg 10,1/271/0/0,6171000,70,320000,3999700,1.8,7199,Ingen,1.0
Nedre Stibakken 5,1/272/0/0,5013000,70,320000,3189100,1.8,5740,Ingen,1.0
Nedre Stibakken 9,1/274/0/0,7198000,70,320000,4718600,1.8,8493,Ingen,1.0
Nedre Stibakken 11B,1/275/0/0,3706000,70,320000,2274200,1.8,4093,Ingen,1.0
Nedre Stibakken 15,1/276/0/0,5707000,70,320000,3674900,1.8,6614,Ingen,1.0
Sakslundvegen 18,1/277/0/0,4893000,70,320000,3105100,1.8,5589,Ingen,1.0
Nedre Stibakken 13,1/278/0/0,5819000,70,320000,3753300,1.8,6755,Ingen,1.0
Sakslundvegen 14,1/282/0/0,5132000,70,320000,3272400,1.8,5890,Ingen,1.0
Jervstien 6,1/286/0/0,5202000,70,320000,3321400,1.8,5978,Ingen,1.0
Sakslundvegen 16,1/287/0/0,5085000,70,320000,3239500,1.8,5831,Ingen,1.0
"Felles Garasjepl. Sakslundv.14, 0",1/288/0/0,228000,100,0,228000,1.8,410,Ingen,1.0
Jervstien 1,1/289/0/0,7178000,70,640000,4384600,1.8,7892,Ingen,2.0
Kongestien 2,1/291/0/0,4797000,70,320000,3037900,1.8,5468,Ingen,1.0
Bjørkly Ii 0,1/295/0/0,0,100,0,0,1.8,0,Ingen,1.0
Nedre Stibakken 11A,1/296/0/0,3646000,70,320000,2232200,1.8,4017,Ingen,1.0
Tillegg Til Røsthaug 0,1/297/0/0,48000,100,0,48000,1.8,86,Ingen,1.0
Olav Magnussons Veg 50,1/298/0/0,6128000,70,320000,3969600,1.8,7145,Ingen,1.0
Lassvebergvegen 13B,1/299/0/0,5819000,70,320000,3753300,1.8,6755,Ingen,1.0
Sakslundvegen 2,1/300/0/0,6365000,70,640000,3815500,1.8,6867,Ingen,2.0
Sakslundvegen 4,1/301/0/0,7096000,70,640000,4327200,1.8,7788,Ingen,2.0
Sakslundvegen 12,1/302/0/0,6171000,70,320000,3999700,1.8,7199,Ingen,1.0
Sakslundvegen 10,1/303/0/0,5202000,70,320000,3321400,1.8,5978,Ingen,1.0
