Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Haukvegen 4,2/290/0/0,5 229 000,70%,200 000 3 460 300,"1,9‰",6 574,Ingen,
Haukvegen 2,2/291/0/0,5 229 000,70%,200 000 3 460 300,"1,9‰",6 574,Ingen,
Lassvebergvegen 7,2/297/0/0,6 039 000,70%,600 000 3 627 300,"1,9‰",6 891,Ingen,
Stibakken 13,2/298/0/0,4 039 000,70%,200 000 2 627 300,"1,9‰",4 991,Ingen,
Stibakken 11A,2/300/0/0,4 908 000,70%,200 000 3 235 600,"1,9‰",6 147,Ingen,
Duevegen 1A,2/301/0/0,3 999 000,70%,200 000 2 599 300,"1,9‰",4 938,Ingen,
Duevegen 9,2/304/0/0,4 978 000,70%,200 000 3 284 600,"1,9‰",6 240,Ingen,
Kåre Kongsbrors Veg 18A,2/306/0/0,5 175 000,70%,200 000 3 422 500,"1,9‰",6 502,Ingen,
Stibakken 12,2/307/0/0,5 364 000,70%,200 000 3 554 800,"1,9‰",6 754,Ingen,
Rådyrvegen 13,2/308/0/0,4 768 000,70%,200 000 3 137 600,"1,9‰",5 961,Ingen,
Stibakken 14,2/309/0/0,3 778 000,70%,200 000 2 444 600,"1,9‰",4 644,Ingen,
Haukvegen 6,2/310/0/0,4 506 000,70%,200 000 2 954 200,"1,9‰",5 612,Ingen,
Rådyrvegen 7,2/311/0/0,5 498 000,70%,200 000 3 648 600,"1,9‰",6 932,Ingen,
Haukvegen 7,2/312/0/0,7 414 000,70%,400 000 4 789 800,"1,9‰",9 100,Ingen,
Haukvegen 9,2/313/0/0,5 695 000,70%,400 000 3 586 500,"1,9‰",6 814,Ingen,
Haukvegen 11,2/314/0/0,6 124 000,70%,400 000 3 886 800,"1,9‰",7 384,Ingen,
Haukvegen 13,2/315/0/0,4 885 000,70%,400 000 3 019 500,"1,9‰",5 737,Ingen,
Haukvegen 8,2/316/0/0,5 997 000,70%,400 000 3 797 900,"1,9‰",7 216,Ingen,
Vidsjåvegen 3,2/317/0/0,4 211 000,70%,200 000 2 747 700,"1,9‰",5 220,Ingen,
Sjøvegen 8,2/319/0/0,3 725 000,70%,200 000 2 407 500,"1,9‰",4 574,Ingen,
Haukvegen 5,2/320/0/0,6 661 000,70%,400 000 4 262 700,"1,9‰",8 099,Ingen,
Stibakken 15,2/322/0/0,3 681 000,70%,200 000 2 376 700,"1,9‰",4 515,Ingen,
Magnus Barfots Veg 9B,2/323/0/0,3 932 000,70%,200 000 2 552 400,"1,9‰",4 849,Ingen,
Lassvebergvegen 1,2/324/0/0,4 885 000,70%,200 000 3 219 500,"1,9‰",6 117,Ingen,
Haukvegen 3,2/326/0/0,6 576 000,70%,400 000 4 203 200,"1,9‰",7 986,Ingen,
Rådyrvegen 3,2/328/0/0,6 354 000,70%,400 000 4 047 800,"1,9‰",7 690,Ingen,
Stibakken 2A,2/329/0/0,6 682 000,70%,200 000 4 477 400,"1,9‰",8 507,Ingen,
Saxe Viks Veg 36,2/331/0/0,5 542 000,70%,200 000 3 679 400,"1,9‰",6 990,Ingen,
Lillesjøvegen 4B,2/332/0/0,5 252 000,70%,200 000 3 476 400,"1,9‰",6 605,Ingen,
Tillegg Til Grantun 0,2/337/0/0,120 000,100%,0 120 000,"1,9‰",228,Ingen,
Florabakken 2,2/341/0/0,5 542 000,70%,200 000 3 679 400,"1,9‰",6 990,Ingen,
Kåre Kongsbrors Veg 12A,2/342/0/0,4 509 000,70%,200 000 2 956 300,"1,9‰",5 616,Ingen,
Magnus Barfots Veg 27,2/344/0/0,5 001 000,70%,200 000 3 300 700,"1,9‰",6 271,Ingen,
Magnus Barfots Veg 28B,2/345/0/0,5 760 000,70%,200 000 3 832 000,"1,9‰",7 280,Ingen,
Magnus Barfots Veg 30,2/346/0/0,4 261 000,70%,200 000 2 782 700,"1,9‰",5 287,Ingen,
Tillegg Til Parsell 39 0,2/347/0/0,64 000,100%,0 64 000,"1,9‰",121,Ingen,
Magnus Barfots Veg 25,2/348/0/0,3 100 000,70%,200 000 1 970 000,"1,9‰",3 743,Ingen,
Magnus Barfots Veg 29,2/349/0/0,6 145 000,70%,200 000 4 101 500,"1,9‰",7 792,Ingen,
Magnus Barfots Veg 32,2/350/0/0,4 530 000,70%,200 000 2 971 000,"1,9‰",5 644,Ingen,
Saxe Viks Veg 77,2/353/0/0,4 553 000,70%,200 000 2 987 100,"1,9‰",5 675,Ingen,
Saxe Viks Veg 79,2/354/0/0,4 365 000,70%,200 000 2 855 500,"1,9‰",5 425,Ingen,
Saxe Viks Veg 81,2/355/0/0,4 193 000,70%,200 000 2 735 100,"1,9‰",5 196,Ingen,
Saxe Viks Veg 83,2/356/0/0,4 180 000,70%,200 000 2 726 000,"1,9‰",5 179,Ingen,
Magnus Barfots Veg 31,2/358/0/0,6 518 000,70%,200 000 4 362 600,"1,9‰",8 288,Ingen,
Rikkas Veg 2,2/359/0/0,5 116 000,70%,200 000 3 381 200,"1,9‰",6 424,Ingen,
Nedre Stibakken 17A,2/364/0/0,4 065 000,70%,200 000 2 645 500,"1,9‰",5 026,Ingen,
Nedre Stibakken 25B,2/365/0/0,5 001 000,70%,400 000 3 100 700,"1,9‰",5 891,Ingen,
Skogstien 5,2/369/0/0,5 320 000,70%,200 000 3 524 000,"1,9‰",6 695,Ingen,
Nedre Stibakken 22,2/370/0/0,5 139 000,70%,400 000 3 197 300,"1,9‰",6 074,Ingen,
Nedre Stibakken 23,2/371/0/0,7 453 000,70%,200 000 5 017 100,"1,9‰",9 532,Ingen,
Nedre Stibakken 27,2/372/0/0,4 768 000,70%,200 000 3 137 600,"1,9‰",5 961,Ingen,
Nedre Stibakken 29A,2/373/0/0,4 230 000,70%,200 000 2 761 000,"1,9‰",5 245,Ingen,
Nedre Stibakken 21A,2/374/0/1,5 622 000,70%,200 000 3 735 400,"1,9‰",7 097,Ingen,
Nedre Stibakken 21B,2/374/0/2,5 641 000,70%,200 000 3 748 700,"1,9‰",7 122,Ingen,
Skogstien 3,2/375/0/0,6 416 000,70%,400 000 4 091 200,"1,9‰",7 773,Ingen,
Falkvegen 10,2/377/0/0,5 498 000,70%,400 000 3 448 600,"1,9‰",6 552,Ingen,
Nedre Stibakken 19B,2/385/0/0,5 001 000,70%,200 000 3 300 700,"1,9‰",6 271,Ingen,
Skogstien 7,2/386/0/0,6 580 000,70%,400 000 4 206 000,"1,9‰",7 991,Ingen,
Skogstien 9,2/388/0/0,6 457 000,70%,200 000 4 319 900,"1,9‰",8 207,Ingen,
Skogstien 1,2/389/0/0,5 890 000,70%,200 000 3 923 000,"1,9‰",7 453,Ingen,
Ekornvegen 24,2/390/0/0,5 782 000,70%,200 000 3 847 400,"1,9‰",7 310,Ingen,
Ekornvegen 28,2/391/0/0,6 920 000,70%,200 000 4 644 000,"1,9‰",8 823,Ingen,
Nedre Stibakken 20,2/392/0/0,6 102 000,70%,400 000 3 871 400,"1,9‰",7 355,Ingen,
Lassvebergvegen 5,2/393/0/0,5 673 000,70%,200 000 3 771 100,"1,9‰",7 165,Ingen,
Ekornvegen 9,2/394/0/0,6 312 000,70%,200 000 4 218 400,"1,9‰",8 014,Ingen,
Ekornvegen 30,2/395/0/0,7 161 000,70%,200 000 4 812 700,"1,9‰",9 144,Ingen,
Ekornvegen 35,2/396/0/0,7 816 000,70%,400 000 5 071 200,"1,9‰",9 635,Ingen,
Ekornvegen 22,2/398/0/0,7 022 000,70%,200 000 4 715 400,"1,9‰",8 959,Ingen,
Lauglobuen 14,2/400/0/0,5 070 000,70%,200 000 3 349 000,"1,9‰",6 363,Ingen,
Lauglobuen 16A,2/401/0/0,4 179 000,70%,200 000 2 725 300,"1,9‰",5 178,Ingen,
Lauglobuen 3,2/402/0/0,6 270 000,70%,200 000 4 189 000,"1,9‰",7 959,Ingen,
Lauglobuen 5,2/403/0/0,7 287 000,70%,400 000 4 700 900,"1,9‰",8 931,Ingen,
Lauglobuen 7A,2/404/0/1,4 464 000,70%,200 000 2 924 800,"1,9‰",5 557,Ingen,
Lauglobuen 7B,2/404/0/2,4 480 000,70%,200 000 2 936 000,"1,9‰",5 578,Ingen,
Lauglobuen 9A,2/405/0/1,4 464 000,70%,200 000 2 924 800,"1,9‰",5 557,Ingen,
Lauglobuen 9B,2/405/0/2,4 434 000,70%,200 000 2 903 800,"1,9‰",5 517,Ingen,
Saxeborgvegen 11,2/407/0/0,4 978 000,70%,200 000 3 284 600,"1,9‰",6 240,Ingen,
Nedre Stibakken 25A,2/408/0/0,6 039 000,70%,200 000 4 027 300,"1,9‰",7 651,Ingen,
Stibakken 11B,2/409/0/0,5 997 000,70%,200 000 3 997 900,"1,9‰",7 596,Ingen,
Ekornvegen 26,2/410/0/0,7 549 000,70%,200 000 5 084 300,"1,9‰",9 660,Ingen,
Lauglobuen 10,2/413/0/0,5 275 000,70%,400 000 3 292 500,"1,9‰",6 255,Ingen,
Lauglobuen 8,2/414/0/0,6 641 000,70%,200 000 4 448 700,"1,9‰",8 452,Ingen,
Lauglobuen 6,2/415/0/0,6 539 000,70%,400 000 4 177 300,"1,9‰",7 936,Ingen,
Lauglobuen 4,2/416/0/0,5 825 000,70%,200 000 3 877 500,"1,9‰",7 367,Ingen,
Lauglobuen 2,2/417/0/0,5 476 000,70%,200 000 3 633 200,"1,9‰",6 903,Ingen,
Olav Magnussons Veg 6B,2/420/0/0,5 453 000,70%,200 000 3 617 100,"1,9‰",6 872,Ingen,
Sigurd Slembes Veg 25,2/422/0/0,5 975 000,70%,200 000 3 982 500,"1,9‰",7 566,Ingen,
Nedre Stibakken 29B,2/425/0/0,4 329 000,70%,200 000 2 830 300,"1,9‰",5 377,Ingen,
Nedre Stibakken 19A,2/426/0/0,6 803 000,70%,200 000 4 562 100,"1,9‰",8 667,Ingen,
Ekornvegen 32,2/428/0/0,5 821 000,70%,400 000 3 674 700,"1,9‰",6 981,Ingen,
Ekornvegen 34,2/429/0/1,7 835 000,70%,200 000 5 284 500,"1,9‰",10 040,Ingen,
Ekornvegen 34,2/429/0/2,1 925 000,70%,200 000 1 147 500,"1,9‰",2 180,Ingen,
Nedre Stibakken 17B,2/431/0/0,3 986 000,70%,200 000 2 590 200,"1,9‰",4 921,Ingen,
Ekornvegen 40,2/432/0/0,5 493 000,70%,400 000 3 445 100,"1,9‰",6 545,Ingen,
Ekornvegen 38,2/434/0/0,5 630 000,70%,200 000 3 741 000,"1,9‰",7 107,Ingen,
Magnus Barfots Veg 7A,2/435/0/0,4 838 000,70%,200 000 3 186 600,"1,9‰",6 054,Ingen,
Haukvegen 14,2/436/0/0,5 890 000,70%,200 000 3 923 000,"1,9‰",7 453,Ingen,
Haukvegen 10,2/440/0/0,6 416 000,70%,400 000 4 091 200,"1,9‰",7 773,Ingen,
Haukvegen 16,2/441/0/0,7 702 000,70%,400 000 4 991 400,"1,9‰",9 483,Ingen,
Haukvegen 18,2/442/0/0,5 652 000,70%,200 000 3 756 400,"1,9‰",7 137,Ingen,
Ekornvegen 36,2/443/0/0,6 312 000,70%,200 000 4 218 400,"1,9‰",8 014,Ingen,
Magnus Barfots Veg 7B,2/444/0/0,4 673 000,70%,200 000 3 071 100,"1,9‰",5 835,Ingen,
Bautavegen 18B,2/445/0/0,4 896 000,70%,400 000 3 027 200,"1,9‰",5 751,Ingen,
Bautavegen 16,2/446/0/0,5 438 000,70%,400 000 3 406 600,"1,9‰",6 472,Ingen,
Bautavegen 2,2/447/0/0,5 804 000,70%,600 000 3 462 800,"1,9‰",6 579,Ingen,
Bautavegen 4,2/448/0/0,6 312 000,70%,200 000 4 218 400,"1,9‰",8 014,Ingen,
Bautavegen 6,2/449/0/0,6 145 000,70%,400 000 3 901 500,"1,9‰",7 412,Ingen,
Bautavegen 8,2/450/0/0,6 312 000,70%,200 000 4 218 400,"1,9‰",8 014,Ingen,
Bautavegen 10,2/451/0/0,7 317 000,70%,200 000 4 921 900,"1,9‰",9 351,Ingen,
Bautavegen 12,2/452/0/0,6 270 000,70%,400 000 3 989 000,"1,9‰",7 579,Ingen,
Bautavegen 14,2/453/0/0,6 722 000,70%,200 000 4 505 400,"1,9‰",8 560,Ingen,
Gullhaugvegen 6,2/454/0/0,6 229 000,70%,400 000 3 960 300,"1,9‰",7 524,Ingen,
Gullhaugvegen 8,2/455/0/0,5 161 000,70%,200 000 3 412 700,"1,9‰",6 484,Ingen,
Bautavegen 20,2/456/0/0,5 717 000,70%,200 000 3 801 900,"1,9‰",7 223,Ingen,
Bautavegen 22,2/457/0/0,5 564 000,70%,200 000 3 694 800,"1,9‰",7 020,Ingen,
Bautavegen 1,2/458/0/0,7 161 000,70%,400 000 4 612 700,"1,9‰",8 764,Ingen,
Bautavegen 3,2/459/0/0,5 207 000,70%,200 000 3 444 900,"1,9‰",6 545,Ingen,
Bautavegen 5,2/460/0/0,5 551 000,70%,200 000 3 685 700,"1,9‰",7 002,Ingen,
Bautavegen 7,2/461/0/0,6 060 000,70%,400 000 3 842 000,"1,9‰",7 299,Ingen,
Bautavegen 9,2/462/0/0,6 060 000,70%,200 000 4 042 000,"1,9‰",7 679,Ingen,
Bautavegen 11,2/463/0/0,5 229 000,70%,200 000 3 460 300,"1,9‰",6 574,Ingen,
Bautavegen 13,2/464/0/0,6 436 000,70%,200 000 4 305 200,"1,9‰",8 179,Ingen,
Bautavegen 15,2/465/0/0,6 621 000,70%,200 000 4 434 700,"1,9‰",8 425,Ingen,
Bautavegen 17,2/466/0/0,6 436 000,70%,400 000 4 105 200,"1,9‰",7 799,Ingen,
Gullhaugvegen 4A,2/467/0/0,6 208 000,70%,400 000 3 945 600,"1,9‰",7 496,Ingen,
Gullhaugvegen 4B,2/468/0/0,5 564 000,70%,200 000 3 694 800,"1,9‰",7 020,Ingen,
Saxeborgvegen 13,2/469/0/0,5 651 000,70%,400 000 3 555 700,"1,9‰",6 755,Ingen,
Ekornvegen 37,2/470/0/0,7 910 000,70%,200 000 5 337 000,"1,9‰",10 140,Ingen,
Jervstien 3,2/474/0/0,8 064 000,70%,400 000 5 244 800,"1,9‰",9 965,Ingen,
Rønningsvegen 34,2/476/0/0,7 873 000,70%,400 000 5 111 100,"1,9‰",9 711,Ingen,
Ekornvegen 3B,2/478/0/0,4 906 000,70%,200 000 3 234 200,"1,9‰",6 144,Ingen,
Rikkas Veg 6,2/483/0/0,9 253 000,70%,400 000 6 077 100,"1,9‰",11 546,Ingen,
Rønningsvegen 19A,2/485/0/0,6 539 000,70%,200 000 4 377 300,"1,9‰",8 316,Ingen,
Saxe Viks Veg 24,2/487/0/0,5 047 000,70%,200 000 3 332 900,"1,9‰",6 332,Ingen,
Saxe Viks Veg 34,2/488/0/0,4 602 000,70%,200 000 3 021 400,"1,9‰",5 740,Ingen,
Sjøvegen 4B,2/491/0/0,6 019 000,70%,200 000 4 013 300,"1,9‰",7 625,Ingen,
Skogstien 6,2/492/0/0,7 239 000,70%,200 000 4 867 300,"1,9‰",9 247,Ingen,
Skogstien 13,2/493/0/0,6 081 000,70%,200 000 4 056 700,"1,9‰",7 707,Ingen,
Skogstien 11,2/494/0/0,5 782 000,70%,200 000 3 847 400,"1,9‰",7 310,Ingen,
Rikkas Veg 4,2/498/0/0,10 113 000,70%,200 000 6 879 100,"1,9‰",13 070,Ingen,
Saxe Viks Veg 75,2/499/0/0,4 815 000,70%,200 000 3 170 500,"1,9‰",6 023,Ingen,
Gullhaugvegen 2D,2/502/0/0,8 581 000,70%,200 000 5 806 700,"1,9‰",11 032,Ingen,
Ekornvegen 7B,2/504/0/0,5 453 000,70%,400 000 3 417 100,"1,9‰",6 492,Ingen,
Bautavegen 18A,2/510/0/0,4 689 000,70%,200 000 3 082 300,"1,9‰",5 856,Ingen,
Rådyrvegen 4B,2/511/0/0,8 700 000,70%,200 000 5 890 000,"1,9‰",11 191,Ingen,
Olav Magnussons Veg 10A,2/515/0/0,6 628 000,70%,400 000 4 239 600,"1,9‰",8 055,Ingen,
Saxe Viks Veg 40,2/516/0/0,5 065 000,70%,200 000 3 345 500,"1,9‰",6 356,Ingen,
Saxe Viks Veg 42,2/517/0/0,5 065 000,70%,200 000 3 345 500,"1,9‰",6 356,Ingen,
Olav Magnussons Veg 12C,2/518/0/0,4 800 000,70%,200 000 3 160 000,"1,9‰",6 004,Ingen,
Rønningsvegen 25B,2/522/0/1,3 429 000,70%,200 000 2 200 300,"1,9‰",4 180,Ingen,
Rønningsvegen 25A,2/522/0/2,3 429 000,70%,200 000 2 200 300,"1,9‰",4 180,Ingen,
Rønningsvegen 29,2/524/0/0,6 576 000,70%,400 000 4 203 200,"1,9‰",7 986,Ingen,
Ekornvegen 20A,2/525/0/0,4 045 000,70%,200 000 2 631 500,"1,9‰",4 999,Ingen,
Ekornvegen 20B,2/526/0/0,4 045 000,70%,200 000 2 631 500,"1,9‰",4 999,Ingen,
Ekornvegen 20C,2/527/0/0,3 976 000,70%,200 000 2 583 200,"1,9‰",4 908,Ingen,
Saxe Viks Veg 58,2/529/0/0,84 000,100%,0 84 000,"1,9‰",159,Ingen,
Haukvegen 12,2/530/0/0,3 786 000,70%,400 000 2 250 200,"1,9‰",4 275,Ingen,
Rønningsvegen 20,2/536/0/0,3 507 000,70%,200 000 2 254 900,"1,9‰",4 284,Ingen,
Rønningsvegen 28,2/540/0/0,6 393 000,70%,400 000 4 075 100,"1,9‰",7 742,Ingen,
Saxe Viks Veg 44,2/541/0/0,6 445 000,70%,200 000 4 311 500,"1,9‰",8 191,Ingen,
Rønningsvegen 24,2/545/0/0,5 829 000,70%,200 000 3 880 300,"1,9‰",7 372,Ingen,
Rønningsvegen 30,2/546/0/0,7 484 000,70%,400 000 4 838 800,"1,9‰",9 193,Ingen,
Lillesjøvegen 10,2/547/0/0,7 688 000,70%,400 000 4 981 600,"1,9‰",9 465,Ingen,
Lillesjøvegen 12,2/548/0/0,11 820 000,70%,600 000 7 674 000,"1,9‰",14 580,Ingen,
Lillesjøvegen 14,2/549/0/0,8 190 000,70%,400 000 5 333 000,"1,9‰",10 132,Ingen,
Lillesjøvegen 13,2/550/0/0,8 406 000,70%,400 000 5 484 200,"1,9‰",10 419,Ingen,
Rønningsvegen 32,2/551/0/0,2 370 000,70%,400 000 1 259 000,"1,9‰",2 392,Ingen,
Rønningsvegen 23A,2/553/0/0,4 891 000,70%,200 000 3 223 700,"1,9‰",6 125,Ingen,
Lauglobuen 16B,2/555/0/0,4 179 000,70%,200 000 2 725 300,"1,9‰",5 178,Ingen,
Falkvegen 8,2/556/0/0,5 241 000,70%,200 000 3 468 700,"1,9‰",6 590,Ingen,
Skogstien 4,2/559/0/0,7 704 000,70%,400 000 4 992 800,"1,9‰",9 486,Ingen,
Saxe Viks Veg 57,2/560/0/0,5 342 000,70%,400 000 3 339 400,"1,9‰",6 344,Ingen,
Saxeborgvegen 2A,2/561/0/1,6 254 000,70%,200 000 4 177 800,"1,9‰",7 937,Ingen,
Saxeborgvegen 2B,2/561/0/2,5 203 000,70%,200 000 3 442 100,"1,9‰",6 539,Ingen,
Saxeborgvegen 4,2/562/0/0,7 751 000,70%,200 000 5 225 700,"1,9‰",9 928,Ingen,
Saxeborgvegen 6,2/563/0/0,10 107 000,70%,400 000 6 674 900,"1,9‰",12 682,Ingen,
Saxeborgvegen 1,2/564/0/0,6 602 000,70%,400 000 4 221 400,"1,9‰",8 020,Ingen,
Saxeborgvegen 3B,2/565/0/1,7 539 000,70%,200 000 5 077 300,"1,9‰",9 646,Ingen,
Saxeborgvegen 3A,2/565/0/2,7 539 000,70%,200 000 5 077 300,"1,9‰",9 646,Ingen,
Sigurd Slembes Veg 30,2/569/0/0,7 087 000,70%,200 000 4 760 900,"1,9‰",9 045,Ingen,
Saxeborgvegen 5B,2/571/0/0,7 011 000,70%,200 000 4 707 700,"1,9‰",8 944,Ingen,
Elgstien 2,2/572/0/0,6 903 000,70%,200 000 4 632 100,"1,9‰",8 800,Ingen,
Elgstien 4,2/573/0/0,5 094 000,70%,200 000 3 365 800,"1,9‰",6 395,Ingen,
Elgstien 6,2/574/0/0,4 907 000,70%,200 000 3 234 900,"1,9‰",6 146,Ingen,
Elgstien 8,2/575/0/0,6 576 000,70%,200 000 4 403 200,"1,9‰",8 366,Ingen,
Elgstien 10,2/576/0/0,5 443 000,70%,200 000 3 610 100,"1,9‰",6 859,Ingen,
0 0,2/577/0/0,182 000,100%,0 182 000,"1,9‰",345,Ingen,
Rønningsvegen 22,2/579/0/0,6 654 000,70%,400 000 4 257 800,"1,9‰",8 089,Ingen,
Duevegen 3B,2/581/0/0,4 932 000,70%,400 000 3 052 400,"1,9‰",5 799,Ingen,
Vidsjåvegen 11,2/583/0/0,8 406 000,70%,400 000 5 484 200,"1,9‰",10 419,Ingen,
Vidsjåvegen 9,2/584/0/0,8 679 000,70%,400 000 5 675 300,"1,9‰",10 783,Ingen,
Vidsjåvegen 13,2/585/0/0,9 852 000,70%,200 000 6 696 400,"1,9‰",12 723,Ingen,
Vidsjåvegen 7,2/586/0/0,10 022 000,70%,200 000 6 815 400,"1,9‰",12 949,Ingen,
Vidsjåvegen 4,2/587/0/0,7 688 000,70%,400 000 4 981 600,"1,9‰",9 465,Ingen,
Vidsjåvegen 2,2/588/0/0,9 909 000,70%,200 000 6 736 300,"1,9‰",12 798,Ingen,
Ekornvegen 3A,2/589/0/0,4 871 000,70%,200 000 3 209 700,"1,9‰",6 098,Ingen,
Gullhaugvegen 20A,2/590/0/0,6 477 000,70%,400 000 4 133 900,"1,9‰",7 854,Ingen,
Magnus Barfots Veg 3A,2/592/0/0,8 406 000,70%,200 000 5 684 200,"1,9‰",10 799,Ingen,
Sjøvegen 8B,2/602/0/0,3 438 000,70%,200 000 2 206 600,"1,9‰",4 192,Ingen,
Gullhaugvegen 2B,2/603/0/1,4 644 000,70%,200 000 3 050 800,"1,9‰",5 796,Ingen,
Gullhaugvegen 2C,2/603/0/2,4 266 000,70%,400 000 2 586 200,"1,9‰",4 913,Ingen,
Sigurd Slembes Veg 24A,2/606/0/0,11 635 000,70%,200 000 7 944 500,"1,9‰",15 094,Ingen,
Rønningsvegen 16,3/2/0/0,5 001 000,70%,200 000 3 300 700,"1,9‰",6 271,Ingen,
Sjøvegen 11,3/5/0/0,3 096 000,70%,200 000 1 967 200,"1,9‰",3 737,Ingen,
Sjøvegen 13,3/8/0/0,5 782 000,70%,400 000 3 647 400,"1,9‰",6 930,Ingen,
Sjøvegen 9A,3/11/0/0,9 502 000,70%,200 000 6 451 400,"1,9‰",12 257,Ingen,
Rønningsvegen 18B,3/14/0/0,5 001 000,70%,200 000 3 300 700,"1,9‰",6 271,Ingen,
Sjøvegen 7B,3/16/0/0,4 255 000,70%,200 000 2 778 500,"1,9‰",5 279,Ingen,
Sjøvegen 21,3/17/0/0,5 431 000,70%,200 000 3 601 700,"1,9‰",6 843,Ingen,
Kongshaugvegen 8,3/19/0/0,4 286 000,70%,200 000 2 800 200,"1,9‰",5 320,Ingen,
Rønningsvegen 14,3/22/0/0,3 725 000,70%,200 000 2 407 500,"1,9‰",4 574,Ingen,
Rønningsvegen 17,3/23/0/0,6 166 000,70%,400 000 3 916 200,"1,9‰",7 440,Ingen,
Rønningsvegen 15,3/24/0/0,6 354 000,70%,200 000 4 247 800,"1,9‰",8 070,Ingen,
Sjøvegen 3,3/25/0/0,5 342 000,70%,200 000 3 539 400,"1,9‰",6 724,Ingen,
Sjøvegen 7A,3/27/0/0,3 795 000,70%,200 000 2 456 500,"1,9‰",4 667,Ingen,
Sjøvegen 23,3/28/0/0,7 337 000,70%,200 000 4 935 900,"1,9‰",9 378,Ingen,
Sjøvegen 5,3/29/0/0,3 485 000,70%,200 000 2 239 500,"1,9‰",4 255,Ingen,
Kongshaugvegen 6,3/31/0/0,5 409 000,70%,200 000 3 586 300,"1,9‰",6 813,Ingen,
Sjøvegen 15,3/32/0/0,4 932 000,70%,200 000 3 252 400,"1,9‰",6 179,Ingen,
Rønningsvegen 9,3/55/0/0,9 504 000,70%,400 000 6 252 800,"1,9‰",11 880,Ingen,
Sjøvegen 19C,3/58/0/0,4 709 000,70%,200 000 3 096 300,"1,9‰",5 882,Ingen,
1 0,3/61/0/1,5 269 000,100%,0 5 269 000,4‰,21 076,Ingen,
2 0,3/61/0/2,5 943 000,100%,0 5 943 000,4‰,23 772,Ingen,
Stasjonsvegen 3,3/65/0/0,139 951 000,70%,7 400 000 90 565 700,"1,9‰",172 074,Ingen,
Rønningsvegen 7,3/66/0/0,6 287 000,70%,200 000 4 200 900,"1,9‰",7 981,Ingen,
Rønningsvegen 13,3/67/0/0,6 270 000,70%,400 000 3 989 000,"1,9‰",7 579,Ingen,
Rønningsvegen 11,3/68/0/0,3 458 000,70%,200 000 2 220 600,"1,9‰",4 219,Ingen,
Rønningsvegen 12,3/69/0/0,6 208 000,70%,400 000 3 945 600,"1,9‰",7 496,Ingen,
Rønningsvegen 10,3/70/0/0,4 978 000,70%,200 000 3 284 600,"1,9‰",6 240,Ingen,
Stasjonsvegen 1,3/71/0/0,19 455 000,100%,0 19 455 000,4‰,77 820,Ingen,
Sjøvegen 19A,3/72/0/0,8 111 000,70%,200 000 5 477 700,"1,9‰",10 407,Ingen,
Rønningsvegen 18A,3/76/0/0,7 496 000,70%,200 000 5 047 200,"1,9‰",9 589,Ingen,
Rønningsvegen 8,3/77/0/0,9 333 000,70%,600 000 5 933 100,"1,9‰",11 272,Ingen,
0 0,3/79/0/0,168 000,100%,0 168 000,"1,9‰",319,Ingen,
Sjøvegen 9B,3/81/0/0,8 581 000,70%,200 000 5 806 700,"1,9‰",11 032,Ingen,
Malvikvegen 300,4/1/0/0,1 770 000,70%,600 000 639 000,"1,9‰",1 214,,
Ålivegen 2B,4/2/0/0,4 236 000,70%,200 000 2 765 200,"1,9‰",5 253,Ingen,
Granholtvegen 14,4/3/0/0,4 932 000,70%,400 000 3 052 400,"1,9‰",5 799,Ingen,
Ekornvegen 4,4/4/0/0,7 361 000,70%,200 000 4 952 700,"1,9‰",9 410,Ingen,
Ålivegen 14,4/5/0/0,6 333 000,70%,400 000 4 033 100,"1,9‰",7 662,Ingen,
Granholtvegen 4,4/6/0/1,4 916 000,70%,200 000 3 241 200,"1,9‰",6 158,Ingen,
Granholtvegen 4,4/6/0/2,4 872 000,70%,200 000 3 210 400,"1,9‰",6 099,Ingen,
Granholtvegen 4,4/6/0/3,4 916 000,70%,200 000 3 241 200,"1,9‰",6 158,Ingen,
Granholtvegen 4,4/6/0/4,4 602 000,70%,200 000 3 021 400,"1,9‰",5 740,Ingen,
Granholtvegen 4,4/6/0/5,4 872 000,70%,200 000 3 210 400,"1,9‰",6 099,Ingen,
Granholtvegen 4,4/6/0/6,4 602 000,70%,200 000 3 021 400,"1,9‰",5 740,Ingen,
Ålivegen 8,4/7/0/0,5 184 000,70%,400 000 3 228 800,"1,9‰",6 134,Ingen,
Ekornvegen 6,4/8/0/0,1 298 000,70%,200 000 708 600,"1,9‰",1 346,Ingen,
Ålivegen 3,4/9/0/0,6 087 000,70%,400 000 3 860 900,"1,9‰",7 335,Ingen,
Kongshaugvegen 2,4/10/0/0,4 802 000,100%,0 4 802 000,4‰,19 208,Ingen,
Gullhaugvegen 1C,4/11/0/0,2 548 000,100%,0 2 548 000,4‰,10 192,,
Gullhaugvegen 1B,4/11/0/0,1 399 000,70%,200 000 779 300,"1,9‰",1 480,,
Kongshaugvegen 1B,4/12/0/0,6 923 000,70%,200 000 4 646 100,"1,9‰",8 827,Ingen,
Vikhammerdalen 6,4/13/0/0,4 885 000,70%,200 000 3 219 500,"1,9‰",6 117,Ingen,
Kongshaugvegen 14,4/14/0/0,1 350 000,70%,200 000 745 000,"1,9‰",1 415,Ingen,
