Adresse,Eiendom,Takst,Skattenivå,Bunnfradrag,Grunnlag,Promillesats,Skatt,Fritak
Grim Saxeviks Veg 1D,1/73/0/19,2 395 000,70%,200 000 1 476 500,"1,9‰",2 805,Ingen,
Grim Saxeviks Veg 1D,1/73/0/20,2 555 000,70%,200 000 1 588 500,"1,9‰",3 018,Ingen,
Grim Saxeviks Veg 1D,1/73/0/21,2 523 000,70%,200 000 1 566 100,"1,9‰",2 975,Ingen,
Grim Saxeviks Veg 1D,1/73/0/22,2 459 000,70%,200 000 1 521 300,"1,9‰",2 890,Ingen,
Grim Saxeviks Veg 1D,1/73/0/23,2 363 000,70%,200 000 1 454 100,"1,9‰",2 762,Ingen,
Grim Saxeviks Veg 1D,1/73/0/24,2 555 000,70%,200 000 1 588 500,"1,9‰",3 018,Ingen,
Grim Saxeviks Veg 3A,1/73/0/25,2 491 000,70%,200 000 1 543 700,"1,9‰",2 933,Ingen,
Grim Saxeviks Veg 3A,1/73/0/26,2 395 000,70%,200 000 1 476 500,"1,9‰",2 805,Ingen,
Grim Saxeviks Veg 3A,1/73/0/27,2 395 000,70%,200 000 1 476 500,"1,9‰",2 805,Ingen,
Grim Saxeviks Veg 3A,1/73/0/28,2 649 000,70%,200 000 1 654 300,"1,9‰",3 143,Ingen,
Grim Saxeviks Veg 3A,1/73/0/29,2 395 000,70%,200 000 1 476 500,"1,9‰",2 805,Ingen,
Grim Saxeviks Veg 3A,1/73/0/30,2 555 000,70%,200 000 1 588 500,"1,9‰",3 018,Ingen,
Grim Saxeviks Veg 3B,1/73/0/31,2 523 000,70%,200 000 1 566 100,"1,9‰",2 975,Ingen,
Grim Saxeviks Veg 3B,1/73/0/32,2 586 000,70%,200 000 1 610 200,"1,9‰",3 059,Ingen,
Grim Saxeviks Veg 3B,1/73/0/33,2 523 000,70%,200 000 1 566 100,"1,9‰",2 975,Ingen,
Grim Saxeviks Veg 3B,1/73/0/34,2 395 000,70%,200 000 1 476 500,"1,9‰",2 805,Ingen,
Grim Saxeviks Veg 3B,1/73/0/35,2 491 000,70%,200 000 1 543 700,"1,9‰",2 933,Ingen,
Grim Saxeviks Veg 3B,1/73/0/36,2 266 000,70%,200 000 1 386 200,"1,9‰",2 633,Ingen,
Grim Saxeviks Veg 3C,1/73/0/37,2 491 000,70%,200 000 1 543 700,"1,9‰",2 933,Ingen,
Grim Saxeviks Veg 3C,1/73/0/38,2 395 000,70%,200 000 1 476 500,"1,9‰",2 805,Ingen,
Grim Saxeviks Veg 3C,1/73/0/39,2 459 000,70%,200 000 1 521 300,"1,9‰",2 890,Ingen,
Grim Saxeviks Veg 3C,1/73/0/40,2 395 000,70%,200 000 1 476 500,"1,9‰",2 805,Ingen,
Grim Saxeviks Veg 3C,1/73/0/41,2 523 000,70%,200 000 1 566 100,"1,9‰",2 975,Ingen,
